Vernier Format 2
pol9.txt 3/8/2022 17:43:38
Run 1
Time	Potential	Current	
T	P	C	
s	V	A	

8.47	1.401	-0.0002	
8.48	1.391	-0.0002	
8.49	1.411	-0.0002	
8.50	1.396	0.0001	
8.51	1.401	0.0001	
8.52	1.406	0.0001	
8.53	1.391	0.0001	
8.54	1.406	-0.0002	
8.55	1.401	-0.0002	
8.56	1.391	-0.0002	
8.57	1.406	0.0001	
8.58	1.396	0.0001	
8.59	1.401	0.0001	
8.60	1.406	0.0001	
8.61	1.391	-0.0002	
8.62	1.401	0.0001	
8.63	1.401	0.0001	
8.64	1.391	0.0001	
8.65	1.406	0.0001	
8.66	1.396	-0.0002	
8.67	1.406	0.0001	
8.68	1.406	0.0001	
8.69	1.391	0.0001	
8.70	1.401	0.0001	
8.71	1.401	0.0001	
8.72	1.391	0.0001	
8.73	1.401	0.0001	
8.74	1.396	-0.0002	
8.75	1.396	-0.0002	
8.76	1.406	0.0001	
8.77	1.391	0.0001	
8.78	1.406	0.0001	
8.79	1.401	0.0001	
8.80	1.391	0.0001	
8.81	1.406	0.0001	
8.82	1.401	0.0001	
8.83	1.396	0.0001	
8.84	1.411	0.0001	
8.85	1.396	0.0001	
8.86	1.401	0.0001	
8.87	1.406	0.0001	
8.88	1.391	0.0001	
8.89	1.406	0.0001	
8.90	1.396	0.0001	
8.91	1.396	-0.0002	
8.92	1.406	0.0001	
8.93	1.396	0.0001	
8.94	1.406	0.0001	
8.95	1.401	0.0001	
8.96	1.391	0.0001	
8.97	1.401	0.0001	
8.98	1.401	0.0001	
8.99	1.391	-0.0002	
9.00	1.406	0.0001	
9.01	1.396	0.0001	
9.02	1.406	0.0001	
9.03	1.401	0.0001	
9.04	1.391	0.0001	
9.05	1.406	0.0001	
9.06	1.401	0.0001	
9.07	1.391	-0.0002	
9.08	1.406	0.0001	
9.09	1.396	0.0001	
9.10	1.396	0.0001	
9.11	1.401	0.0001	
9.12	1.391	0.0001	
9.13	1.406	0.0001	
9.14	1.401	-0.0002	
9.15	1.391	0.0001	
9.16	1.406	0.0001	
9.17	1.396	0.0001	
9.18	1.401	-0.0002	
9.19	1.406	-0.0002	
9.20	1.396	0.0001	
9.21	1.401	0.0001	
9.22	1.406	0.0001	
9.23	1.391	0.0001	
9.24	1.406	0.0001	
9.25	1.396	-0.0002	
9.26	1.396	-0.0002	
9.27	1.406	0.0001	
9.28	1.391	0.0001	
9.29	1.401	0.0001	
9.30	1.396	0.0001	
9.31	1.391	0.0001	
9.32	1.401	0.0001	
9.33	1.396	0.0001	
9.34	1.396	0.0001	
9.35	1.411	0.0001	
9.36	1.396	0.0001	
9.37	1.401	0.0001	
9.38	1.406	0.0001	
9.39	1.396	0.0001	
9.40	1.406	0.0001	
9.41	1.406	0.0001	
9.42	1.391	-0.0002	
9.43	1.406	0.0001	
9.44	1.396	0.0001	
9.45	1.401	0.0001	
9.46	1.401	0.0001	
9.47	1.391	0.0001	
9.48	1.396	0.0001	
9.49	1.401	-0.0002	
9.50	1.396	0.0001	
9.51	1.406	-0.0002	
9.52	1.396	0.0001	
9.53	1.401	0.0001	
9.54	1.401	-0.0002	
9.55	1.391	0.0001	
9.56	1.396	0.0001	
9.57	1.396	0.0001	
9.58	1.391	0.0001	
9.59	1.406	0.0001	
9.60	1.396	0.0001	
9.61	1.401	-0.0002	
9.62	1.406	0.0001	
9.63	1.396	0.0001	
9.64	1.401	0.0001	
9.65	1.396	0.0001	
9.66	1.386	0.0001	
9.67	1.406	0.0001	
9.68	1.396	0.0001	
9.69	1.396	0.0001	
